timestep,ax,ay,az,gx,gy,gz,flex1,flex2,flex3,flex4,flex5
261,-504.0,-450.0,772.0,1.0,-2.0,-1.0,140,98,124,121,136
262,-516.0,-455.0,771.0,0.0,-1.0,-2.0,144,103,130,127,142
263,-515.0,-452.0,770.0,0.0,-1.0,-3.0,141,101,129,124,141
264,-489.0,-474.0,774.0,-1.0,0.0,-3.0,149,109,135,131,146
265,-474.0,-487.0,769.0,0.0,1.0,-3.0,159,118,140,139,156
266,-469.0,-482.0,758.0,-2.0,1.0,-2.0,158,118,139,140,157
267,-468.0,-491.0,753.0,-2.0,-2.0,-1.0,162,119,143,141,156
268,-480.0,-485.0,750.0,-2.0,-2.0,-1.0,151,108,133,131,145
269,-486.0,-486.0,757.0,0.0,-3.0,1.0,140,99,123,121,139
270,-496.0,-452.0,771.0,-2.0,-3.0,0.0,135,92,120,115,132
271,-514.0,-465.0,768.0,-2.0,-2.0,-1.0,139,99,128,121,142
272,-516.0,-467.0,764.0,0.0,-1.0,-1.0,154,113,147,138,150
273,-518.0,-468.0,761.0,0.0,-3.0,-2.0,152,110,139,135,151
274,-505.0,-480.0,780.0,0.0,-3.0,-2.0,157,117,145,139,155
275,-485.0,-489.0,796.0,1.0,1.0,-2.0,157,118,144,138,156
276,-472.0,-481.0,781.0,-2.0,2.0,-2.0,156,118,145,141,154
277,-459.0,-483.0,762.0,-6.0,1.0,-2.0,138,98,124,118,135
278,-458.0,-490.0,741.0,-6.0,0.0,0.0,142,102,130,124,140
279,-468.0,-470.0,729.0,-5.0,-2.0,0.0,139,98,125,121,137
280,-481.0,-464.0,740.0,-4.0,-4.0,0.0,138,96,123,121,136
281,-496.0,-462.0,763.0,-2.0,-4.0,0.0,150,108,136,134,148
282,-516.0,-472.0,774.0,0.0,-5.0,0.0,158,117,146,142,157
283,-513.0,-480.0,811.0,1.0,-4.0,0.0,161,121,149,142,159
284,-517.0,-502.0,802.0,0.0,-3.0,0.0,159,119,150,143,159
285,-509.0,-494.0,822.0,-2.0,1.0,0.0,158,118,146,139,157
286,-506.0,-508.0,804.0,1.0,4.0,2.0,138,97,121,121,137
287,-490.0,-488.0,783.0,-3.0,7.0,0.0,138,91,118,116,131
288,-474.0,-490.0,758.0,-7.0,6.0,-1.0,144,102,122,125,141
289,-461.0,-493.0,742.0,-10.0,4.0,-2.0,152,108,131,134,150
290,-456.0,-526.0,729.0,-7.0,3.0,2.0,149,106,134,132,146
291,-479.0,-486.0,721.0,-1.0,2.0,6.0,156,111,141,138,153
292,-494.0,-444.0,732.0,-4.0,0.0,4.0,157,116,145,138,154
293,-497.0,-438.0,727.0,-6.0,-1.0,3.0,160,118,151,141,156
294,-509.0,-442.0,704.0,-5.0,-2.0,3.0,145,103,133,122,138
295,-521.0,-407.0,686.0,-3.0,-3.0,1.0,143,98,132,121,138
296,-534.0,-302.0,627.0,-5.0,-3.0,-6.0,137,95,126,117,134
297,-534.0,-265.0,529.0,-6.0,-6.0,-14.0,137,96,127,119,135
298,-521.0,-187.0,458.0,4.0,-21.0,-24.0,153,109,142,132,149
299,-568.0,-207.0,369.0,1.0,-48.0,-44.0,157,111,145,136,152
300,-609.0,-394.0,539.0,13.0,-101.0,-56.0,154,102,142,135,150
301,-370.0,-418.0,1236.0,-54.0,-133.0,-68.0,150,93,126,118,137
302,-79.0,-1194.0,1961.0,-152.0,-63.0,-63.0,145,87,97,112,111
303,445.0,-2169.0,2571.0,-102.0,90.0,49.0,116,58,82,73,72
304,432.0,-1813.0,2363.0,-141.0,313.0,167.0,119,60,92,69,74
305,95.0,-821.0,794.0,-270.0,305.0,195.0,111,62,83,76,68
306,-357.0,-1155.0,65.0,-300.0,192.0,226.0,116,63,92,82,71
307,-214.0,-1120.0,333.0,-249.0,219.0,280.0,118,67,91,82,76
308,-443.0,-393.0,159.0,-152.0,198.0,305.0,125,78,84,90,84
309,-479.0,296.0,13.0,-126.0,173.0,283.0,128,78,102,93,87
310,-559.0,666.0,-152.0,-97.0,157.0,206.0,128,77,107,96,86
311,-445.0,894.0,-219.0,-97.0,140.0,135.0,117,68,103,84,72
