timestamp,ax,ay,az,gx,gy,gz,flex1,flex2,flex3,flex4,flex5,emg1,emg2,emg3
2025-02-20 16:33:41.516,870.0,1256.0,1263.0,-64.0,121.0,412.0,149,55,55,73,68,442,446,472
2025-02-20 16:33:41.533,287.0,2459.0,1081.0,-69.0,116.0,281.0,150,56,56,73,67,441,432,479
2025-02-20 16:33:41.553,-336.0,3278.0,995.0,-163.0,102.0,156.0,149,56,55,72,66,463,427,477
2025-02-20 16:33:41.573,-954.0,2737.0,1093.0,-99.0,86.0,25.0,150,57,55,72,66,488,436,473
2025-02-20 16:33:41.585,-264.0,2325.0,1259.0,23.0,106.0,-99.0,149,57,56,73,66,513,432,490
2025-02-20 16:33:41.610,-136.0,1534.0,1069.0,96.0,119.0,-176.0,150,58,57,73,64,528,416,509
2025-02-20 16:33:41.627,-80.0,989.0,936.0,76.0,84.0,-226.0,150,58,57,73,64,485,406,490
2025-02-20 16:33:41.647,-12.0,606.0,862.0,27.0,49.0,-266.0,149,58,56,74,62,462,420,472
2025-02-20 16:33:41.667,55.0,279.0,794.0,24.0,26.0,-316.0,149,57,57,74,62,503,443,453
2025-02-20 16:33:41.684,23.0,-125.0,806.0,72.0,4.0,-326.0,148,57,56,72,62,529,473,444
2025-02-20 16:33:41.703,6.0,-392.0,783.0,128.0,-3.0,-270.0,148,56,56,72,62,473,443,432
2025-02-20 16:33:41.724,-172.0,27.0,837.0,121.0,-22.0,-298.0,146,57,55,72,64,449,437,447
2025-02-20 16:33:41.742,-89.0,-66.0,867.0,93.0,-47.0,-325.0,148,56,58,72,63,464,456,472
2025-02-20 16:33:41.761,203.0,-555.0,883.0,91.0,-59.0,-286.0,148,56,50,72,64,459,475,474
2025-02-20 16:33:41.782,238.0,-827.0,1031.0,124.0,-41.0,-249.0,147,56,56,71,65,451,475,467
2025-02-20 16:33:41.799,131.0,-700.0,948.0,107.0,-35.0,-160.0,146,57,57,72,65,447,472,473
2025-02-20 16:33:41.819,215.0,-835.0,901.0,29.0,-76.0,-103.0,146,56,56,71,66,439,480,499
2025-02-20 16:33:41.839,529.0,-1276.0,1090.0,40.0,-89.0,-36.0,146,55,57,72,65,409,485,461
2025-02-20 16:33:41.856,922.0,-1843.0,1559.0,77.0,-21.0,114.0,146,56,56,73,66,464,478,449
2025-02-20 16:33:41.876,1296.0,-1989.0,1522.0,35.0,49.0,329.0,147,56,56,72,66,492,484,478
2025-02-20 16:33:41.896,1726.0,-2030.0,1153.0,-37.0,67.0,606.0,147,55,55,72,62,476,463,486
2025-02-20 16:33:41.913,1628.0,-341.0,1061.0,-210.0,-30.0,711.0,147,57,56,71,62,467,495,470
2025-02-20 16:33:41.933,1649.0,12.0,1508.0,-238.0,-27.0,657.0,147,56,56,70,62,459,499,463
2025-02-20 16:33:41.950,404.0,2303.0,1367.0,-230.0,26.0,472.0,147,57,56,71,63,472,485,457
2025-02-20 16:33:41.970,149.0,2304.0,1270.0,-196.0,29.0,293.0,148,57,56,70,62,478,468,458
2025-02-20 16:33:41.990,-168.0,1940.0,1381.0,17.0,32.0,162.0,148,56,56,70,62,473,469,460
2025-02-20 16:33:42.007,-330.0,2928.0,1871.0,55.0,51.0,33.0,147,56,57,71,63,495,484,470
2025-02-20 16:33:42.028,12.0,2191.0,2121.0,-32.0,141.0,-50.0,146,57,56,71,64,506,488,482
2025-02-20 16:33:42.048,149.0,903.0,1917.0,-73.0,231.0,-72.0,147,57,57,71,64,468,460,498
2025-02-20 16:33:42.065,59.0,173.0,1477.0,-112.0,261.0,-85.0,146,57,57,72,64,425,440,491
2025-02-20 16:33:42.084,86.0,-324.0,1310.0,-178.0,252.0,-70.0,144,58,56,72,64,411,389,476
2025-02-20 16:33:42.105,58.0,-400.0,1124.0,-236.0,285.0,-55.0,144,57,56,72,65,407,416,436
2025-02-20 16:33:42.120,-61.0,-477.0,706.0,-263.0,318.0,-52.0,144,57,58,70,65,450,437,421
2025-02-20 16:33:42.136,-396.0,-390.0,189.0,-231.0,303.0,-62.0,141,59,59,69,65,454,462,461
2025-02-20 16:33:42.159,-296.0,-471.0,247.0,-194.0,280.0,-47.0,140,61,60,69,68,479,474,486
